종목명,현재가,전일비,등락률,거래량,거래대금,market,code
KODEX 미국30년국채타겟커버드콜(합성 H),"8,535",상승20,+0.23%,"658,573",,KOSPI,481060
HS효성첨단소재,"198,900","상승1,000",+0.51%,"12,515",,KOSPI,298050
TIGER 미국배당다우존스타겟커버드콜2호,"9,890",하락60,-0.60%,"375,347",,KOSPI,458760
KODEX 인버스,"2,725",하락15,-0.55%,"67,424,856",,KOSPI,114800
대한유화,"135,600",하락500,-0.37%,"42,948",,KOSPI,006650
태광산업,"788,000","하락26,000",-3.19%,"2,455",,KOSPI,003240
GKL,"14,100",하락650,-4.41%,"360,441",,KOSPI,114090
TIGER KRX금현물,"13,200",상승265,+2.05%,"1,060,498",,KOSPI,0072R0
KODEX 미국배당커버드콜액티브,"12,600",상승30,+0.24%,"689,015",,KOSPI,441640
해성디에스,"50,900","상승1,550",+3.14%,"202,010",,KOSPI,195870
ACE 종합채권(AA-이상)액티브,"106,780",상승90,+0.08%,426,,KOSPI,356540
TIGER 단기채권액티브,"56,370",상승15,+0.03%,"60,657",,KOSPI,272580
세방전지,"59,800",상승100,+0.17%,"38,632",,KOSPI,004490
솔루엠,"17,470",상승10,+0.06%,"164,421",,KOSPI,248070
LX세미콘,"51,100",하락900,-1.73%,"38,871",,KOSPI,108320
TIGER 미국30년국채스트립액티브(합성 H),"39,785",상승190,+0.48%,"73,687",,KOSPI,458250
DL,"38,450",하락250,-0.65%,"52,077",,KOSPI,000210
LG전자우,"46,700",상승400,+0.86%,"85,847",,KOSPI,066575
경동나비엔,"54,700",하락700,-1.26%,"35,619",,KOSPI,009450
TIGER 우량회사채액티브,"115,910",상승50,+0.04%,"17,032",,KOSPI,438330
후성,"7,400",하락400,-5.13%,"2,579,549",,KOSPI,093370
SNT모티브,"29,800",보합0,0.00%,"72,042",,KOSPI,064960
TIGER 미국필라델피아AI반도체나스닥,"15,260",상승475,+3.21%,"784,178",,KOSPI,497570
아세아,"376,500","하락1,000",-0.26%,"2,538",,KOSPI,002030
케이카,"16,000",상승30,+0.19%,"74,373",,KOSPI,381970
SNT에너지,"37,300",상승150,+0.40%,"100,783",,KOSPI,100840
F&F홀딩스,"19,710",상승10,+0.05%,"18,103",,KOSPI,007700
케이씨텍,"37,050",상승50,+0.14%,"123,623",,KOSPI,281820
N2 KIS CD금리투자 ETN,"54,550",보합0,0.00%,0,,KOSPI,550082
TIGER 은행고배당플러스TOP10,"20,620",상승150,+0.73%,"480,598",,KOSPI,466940
TIGER 조선TOP10,"26,675",하락605,-2.22%,"1,575,340",,KOSPI,494670
