code,name,naver_label
101530,해태제과식품,음식료업종
311390,네오크레마,음식료업종
004410,서울식품,음식료업종
001130,대한제분,음식료업종
008040,사조동아원,음식료업종
250000,보라티알,음식료업종
001420,태원물산,음식료업종
353190,휴럼,음식료업종
208140,정다운,음식료업종
051500,CJ프레시웨이,음식료업종
145990,삼양사,음식료업종
000140,하이트진로홀딩스,음식료업종
005180,빙그레,음식료업종
005670,푸드웰,음식료업종
003230,삼양식품,음식료업종
238200,비피도,음식료업종
403490,우듬지팜,음식료업종
003920,남양유업,음식료업종
006880,신송홀딩스,음식료업종
270870,뉴트리,음식료업종
222040,코스맥스엔비티,음식료업종
475460,미트박스,음식료업종
276730,한울앤제주,음식료업종
188040,바이오포트,음식료업종
277410,인산가,음식료업종
009780,엠에스씨,음식료업종
194700,노바렉스,음식료업종
007390,네이처셀,음식료업종
103840,우양,음식료업종
002680,한탑,음식료업종
264900,크라운제과,음식료업종
318010,팜스빌,음식료업종
017810,풀무원,음식료업종
475560,더본코리아,음식료업종
195940,HK이노엔,음식료업종
342870,오아,음식료업종
