code,name,abbr,name_eng,isin,market,market_type,security_group,sector_name,stock_kind,par_value,listed_shares,list_date,isu_cd,short_code,source_market
064290,인텍플러스,인텍플러스,"INTEKPLUS CO.,LTD",KR7064290000,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,12863962,2011-01-05,KR7064290000,064290,KOSDAQ
189300,인텔리안테크놀로지스,인텔리안테크,INTELLIAN TECHNOLOGIES Inc.,KR7189300007,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,10733334,2016-10-18,KR7189300007,189300,KOSDAQ
150840,인트로메딕,인트로메딕,"IntroMedic Co., Ltd.",KR7150840007,KOSDAQ,KOSDAQ,주권,관리종목(소속부없음),보통주,100.0,41848476,2013-12-19,KR7150840007,150840,KOSDAQ
048530,인트론바이오테크놀로지,인트론바이오,"iNtRON Biotechnology, Inc.",KR7048530000,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,34150762,2011-01-26,KR7048530000,048530,KOSDAQ
115310,인포바인,인포바인,"INFOvine co., Ltd.",KR7115310005,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,3192883,2010-02-09,KR7115310005,115310,KOSDAQ
039290,인포뱅크,인포뱅크,InfoBank Corporation,KR7039290002,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,8693978,2006-07-04,KR7039290002,039290,KOSDAQ
071200,인피니트헬스케어,인피니트헬스케어,INFINITT Healthcare,KR7071200000,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,24396458,2010-05-26,KR7071200000,071200,KOSDAQ
101930,인화정공,인화정공,"Inhwa Precision Co., Ltd",KR7101930006,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,9615733,2010-10-22,KR7101930006,101930,KOSDAQ
333430,일승,일승,IL SEUNG,KR7333430007,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,100.0,30726747,2019-11-06,KR7333430007,333430,KOSDAQ
068330,일신바이오베이스,일신바이오,"ilShinbiobase Co., Ltd.",KR7068330000,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,100.0,44216140,2007-12-26,KR7068330000,068330,KOSDAQ
178780,일월지엠엘,일월지엠엘,ILWOUL GML,KR7178780003,KOSDAQ,KOSDAQ,주권,관리종목(소속부없음),보통주,500.0,13964195,2015-06-30,KR7178780003,178780,KOSDAQ
019540,일지테크,일지테크,IljiTechnology,KR7019540004,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,13513500,1992-11-03,KR7019540004,019540,KOSDAQ
094820,일진파워,일진파워,"ILJIN POWER CO., LTD.",KR7094820008,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,15078709,2007-11-06,KR7094820008,094820,KOSDAQ
950140,잉글우드랩,잉글우드랩,"Englewood Lab, Inc.",KR8840110108,KOSDAQ,KOSDAQ,주식예탁증권,외국기업(소속부없음),보통주,0.0,19867866,2016-10-14,KR8840110108,950140,KOSDAQ
049550,잉크테크,잉크테크,"INKTEC CO., LTD.",KR7049550007,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,19606277,2002-02-28,KR7049550007,049550,KOSDAQ
389020,자람테크놀로지,자람테크놀로지,"Zaram Technology,Inc.",KR7389020009,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,6197730,2023-03-07,KR7389020009,389020,KOSDAQ
254120,자비스,자비스,"XAVIS CO., Ltd.",KR7254120009,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,100.0,30754270,2016-12-02,KR7254120009,254120,KOSDAQ
043910,자연과 환경,자연과환경,"Nature and Environment Co., Ltd.",KR7043910009,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,81391457,2005-11-18,KR7043910009,043910,KOSDAQ
234920,자이글,자이글,"Zaigle Co., Ltd.",KR7234920007,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,13530910,2016-09-06,KR7234920007,234920,KOSDAQ
289220,자이언트스텝,자이언트스텝,GIANTSTEP Inc.,KR7289220006,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,22121745,2021-03-24,KR7289220006,289220,KOSDAQ
174880,장원테크,장원테크,"JangWonTech Co., Ltd.",KR7174880005,KOSDAQ,KOSDAQ,주권,관리종목(소속부없음),보통주,500.0,4381265,2016-07-15,KR7174880005,174880,KOSDAQ
